Name,Location,Website,School Type,Largest Program
EDP School,"1601 Voorhies Ave 2nd Floor, Brooklyn, New York 11235",edpschool.edu/,"< 2-year, Private not-for-profit",Medical Office Assistant/Specialist
Electrical and HVAC/R Training Center,"65 Elm St., Copiague, New York 11726",https://www.electricaltrainingcenter.edu/,"< 2-year, Private for-profit",Electrical and Electronics Engineering
Elim Bible Institute and College,"7245 College Street, Lima, New York 14485-9704",https://elim.edu/,"4-year, primarily associate's, Private not-for-profit",-
Elmezzi Graduate School of Molecular Medicine,"350 Community Drive, Manhasset, New York 11030-3816",www.northwell.edu/education-and-resources/elmezzi-graduate-school-of-molecular-medicine,"4-year, Private not-for-profit",-
Elmira College,"One Park Place, Elmira, New York 14901",https://www.elmira.edu/,"4-year, Private not-for-profit",-
Elyon College,"1400 West 6th Street, Brooklyn, New York 11204-4801",elyon.edu/,"2-year, Private not-for-profit",-
Empire Beauty School-Brooklyn,"2384 86th St, Brooklyn, New York 11214",www.empire.edu/,"< 2-year, Private for-profit","Cosmetology/Cosmetologist, General"
Empire Beauty School-Buffalo,"2190 Walden Avenue, Cheektowaga, New York 14225-5177",www.empire.edu/,"< 2-year, Private for-profit","Cosmetology/Cosmetologist, General"
Empire Beauty School-Manhattan,"22 W 34th St, New York, New York 10001",www.empire.edu/,"< 2-year, Private for-profit","Cosmetology/Cosmetologist, General"
Empire Beauty School-Peekskill,"19 Bank St, Peekskill, New York 10566",www.empire.edu/,"< 2-year, Private for-profit","Cosmetology/Cosmetologist, General"
Empire Beauty School-Queens,"38-15 Broadway, Astoria, New York 11103",www.empire.edu/,"< 2-year, Private for-profit","Cosmetology/Cosmetologist, General"
Empire Beauty School-Rochester,"340 Elmridge Center Drive, Rochester, New York 14626-3461",www.empire.edu/,"< 2-year, Private for-profit","Cosmetology/Cosmetologist, General"
Empire State University,"Two Union Ave, Saratoga Springs, New York 12866-4391",www.sunyempire.edu/,"4-year, Public",-
Erie 1 BOCES,"355 Harlem Rd, West Seneca, New York 14224",e1b.org/WFD,"< 2-year, Public",Licensed Practical/Vocational Nurse Training
Erie 2 Chautauqua Cattaraugus BOCES-Practical Nursing Program,"8685 Erie Rd, Angola, New York 14006",www.e2ccb.org/,"< 2-year, Public",Licensed Practical/Vocational Nurse Training
Erie Community College,"121 Ellicott St, Buffalo, New York 14203-2698",www.ecc.edu/,"2-year, Public",-
Excelsior University,"7 Columbia Cir, Albany, New York 12203-5159",www.excelsior.edu/,"4-year, Private not-for-profit",-
Farmingdale State College,"2350 Broadhollow Road, Farmingdale, New York 11735-1021",www.farmingdale.edu/,"4-year, Public",-
Fashion Institute of Technology,"227 W 27th St, New York, New York 10001-5992",www.fitnyc.edu/,"4-year, primarily associate's, Public",-
Finger Lakes Community College,"3325 Marvin Sands Drive, Canandaigua, New York 14424-8395",www.flcc.edu/,"2-year, Public",-
Finger Lakes Health College of Nursing & Health Sciences,"196 North Street, Geneva, New York 14456-1651",https://www.flhcon.edu/,"2-year, Private not-for-profit",-
Five Towns College,"305 North Service Road, Dix Hills, New York 11746-5871",www.ftc.edu/,"4-year, Private for-profit",-
Focus Personal Training Institute,"115 West 27th Street, 11th Floor, New York, New York 10001-6217",www.fpti.edu/,"< 2-year, Private for-profit",Physical Fitness Technician
Fordham University,"441 E Fordham Rd, Bronx, New York 10458",https://www.fordham.edu/,"4-year, Private not-for-profit",-
Fulton-Montgomery Community College,"2805 State Hwy 67, Johnstown, New York 12095-3790",www.fmcc.edu/,"2-year, Public",-
Gemological Institute of America-New York,"50 West 47th Street, 8th Floor, New York, New York 10036",www.gia.edu/gem-education,"< 2-year, Private not-for-profit",Jewelry Arts
Genesee Community College,"One College Rd, Batavia, New York 14020-9704",https://www.genesee.edu/,"2-year, Public",-
Genesee Valley BOCES-Practical Nursing Program,"Adult Education Office  8250 State St Rd, Batavia, New York 14020",www.gvboces.org/,"< 2-year, Public",Licensed Practical/Vocational Nurse Training
Glasgow Caledonian New York College,"64 Wooster Street, New York, New York 10012",www.gcnyc.edu/,"4-year, Private not-for-profit",-
Grace International Beauty School,"136-31 41st Avenue, #6FL, Flushing, New York 11355-2446",www.gibs.edu/,"< 2-year, Private for-profit","Cosmetology/Cosmetologist, General"
Hamilton College,"198 College Hill Rd, Clinton, New York 13323",https://www.hamilton.edu/,"4-year, Private not-for-profit",-
Hartwick College,"One Hartwick Drive, Oneonta, New York 13820-4020",www.hartwick.edu/,"4-year, Private not-for-profit",-
Hebrew Union College-Jewish Institute of Religion,"One W 4th St, New York, New York 10012-1186",www.huc.edu/,"4-year, Private not-for-profit",-
Helene Fuld College of Nursing,"24 East 120th Street, New York, New York 10035-2737",https://www.helenefuld.edu/,"4-year, primarily associate's, Private not-for-profit",-
Herkimer County BOCES-Practical Nursing Program,"420 East German Sterr, Herkimer, New York 13350",https://www.herkimer-boces.org/page/adult-practical-nursing,"< 2-year, Public",Licensed Practical/Vocational Nurse Training
Herkimer County Community College,"100 Reservoir Rd, Herkimer, New York 13350-1598",www.herkimer.edu/,"2-year, Public",-
Hilbert College,"5200 S Park Ave, Hamburg, New York 14075-1597",www.hilbert.edu/,"4-year, Private not-for-profit",-
HJ International Graduate School for Peace and Public Leadership,"4 West 43rd Street, New York, New York 10036",https://www.uts.edu/,"4-year, Private not-for-profit",-
Hobart William Smith Colleges,"337 Pulteney Street, Geneva, New York 14456",www.hws.edu/,"4-year, Private not-for-profit",-
Hofstra University,"100 Hofstra University, Hempstead, New York 11549",www.hofstra.edu/,"4-year, Private not-for-profit",-
Houghton University,"1 Willard Ave, Houghton, New York 14744",www.houghton.edu/,"4-year, Private not-for-profit",-
Hudson Valley Community College,"80 Vandenburgh Ave, Troy, New York 12180",www.hvcc.edu/,"2-year, Public",-
Hunter Business School,"3601 Hempstead Tpk Unit19, Levittown, New York 11756-1375",hunterbusinessschool.edu/,"2-year, Private for-profit",Medical/Clinical Assistant
Icahn School of Medicine at Mount Sinai,"One Gustave L Levy Place, Box 1217, New York, New York 10029-6574",icahn.mssm.edu/,"4-year, Private not-for-profit",-
Institute of Culinary Education,"225 Liberty Street, New York, New York 10281",https://www.ice.edu/,"< 2-year, Private for-profit",Culinary Arts/Chef Training
Iona University,"715 North Ave, New Rochelle, New York 10801-1890",www.iona.edu/,"4-year, Private not-for-profit",-
Isabella Graham Hart School of Practical Nursing,"470 Skyview Centre Pkwy, Rochester, New York 14622",www.rochesterregional.org/for-healthcare-professionals/residency-training-programs/igh-school-of-practical-nursing/,"< 2-year, Private not-for-profit",Licensed Practical/Vocational Nurse Training
Island Drafting and Technical Institute,"128 Broadway Rte 110, Amityville, New York 11701-2704",https://www.idti.edu/,"2-year, Private for-profit",-
Ithaca College,"953 Danby Road, Ithaca, New York 14850-7002",www.ithaca.edu/,"4-year, Private not-for-profit",-
